,track_id,track_name,track_duration_ms,artist_id,artist_name,album_id,album_name,album_release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
0,5E7G1v4iGa9li0HWAomSOs,Pájaro,128826,18hiqhddMloGWzY8pNZ8qr,Maple Syrup,26VgzLAyBkVIn8SesEB6oB,Barça,2020-08-28,0.766,0.301,9,-13.829,0,0.148,0.587,0.436,0.0836,0.195,82.003
1,25vPtLrUxkdrFHxRzhXSw6,Willpower,163471,5tvVRGHiqZjsZDIYvLDdl5,l'Outlander,61wJuf5pVCICvt8iWX6btI,Willpower,2022-02-20,0.649,0.253,11,-12.444,0,0.0395,0.81,0.822,0.0919,0.347,87.011
2,7bZkgrzfCjzA9qDDGZdsM8,Primitivo,98823,5xJ9q1lHwa8AShRof94oIt,Phlocalyst,22GFJw9YsweUCmzY8BqPdT,Primitivo,2020-10-02,0.693,0.597,9,-11.93,1,0.0805,0.737,0.254,0.343,0.575,84.937
3,6yzoosToQTjFNu6WjuWahI,Hold My Hand,164161,3iGthn6RykA9JUHnilAIr0,Krynoze,38KDWtXii83A6xj26chFbk,Tomorrow Comes,2022-01-21,0.561,0.0185,5,-21.849,1,0.0327,0.958,0.947,0.071,0.177,60.013
4,7HpNwwS5G8mUjcTshcMKzi,Chasing Dreams,137142,7nlZWVZ0U8EVad0g71xiZt,Sitting Duck,3HOZF0LXJjt0vhrJ3idypD,Wonderland Chapter II,2021-04-08,0.629,0.472,9,-14.121,1,0.031,0.887,0.888,0.103,0.272,139.926
5,3eRiOsaW10pOiW0sQjsPSb,chill,96008,299YwUx9tIS10VkkAujnMt,n o r m a l,2frduprulrVLyAxCxYxBY7,daytoday,2021-09-10,0.794,0.335,2,-11.067,1,0.309,0.576,0.703,0.118,0.293,75.018
6,32jgxWTiEcXChtfT4BdFyK,Better Life,160538,3VXe7BcibISROhxRdPuRNL,Zmeyev,43SGwBqaSpuOA5D9stfmLy,Better Life,2021-10-22,0.678,0.446,1,-11.072,1,0.0532,0.537,0.862,0.112,0.378,144.012
7,6bp0DUXnsAdLbueBfFTPFn,The Descent,213038,7185Q95lPFld0aoPqO6e0U,Blue Wednesday,4qXFRv89pwobNKRZjM7mvH,In My Head,2021-11-07,0.574,0.221,1,-22.998,1,0.0355,0.99,0.906,0.138,0.223,99.984
8,7v9Kx2qNjDO1ccoXHiOnnp,Capsule,154583,4n9z9czt00gzw36hdoVU3G,Kainbeats,5iLhC7OUCeR51VC7QVwL8y,Atlantis,2022-02-04,0.708,0.0311,8,-21.528,1,0.0355,0.968,0.949,0.089,0.0795,119.956
9,2uv1gNThLENcJjbgDMSLYC,Raining In My Head,128623,46RYzJ2442SuhtOTl281nz,Dimension 32,7GvfyfSmMTbwEljirJNWF1,Silent Emotions,2021-09-27,0.597,0.158,5,-20.532,1,0.0349,0.977,0.946,0.0979,0.13,120.028
10,3cGBQyGQpInEcUPh4zK6r6,Cascade,136000,4CSOdm2yCuB71TxCfV105e,Kinissue,5R06CgiPgr3hIVD155BIyF,Sea Beams,2021-07-05,0.737,0.199,0,-15.233,1,0.0469,0.885,0.93,0.162,0.139,119.974
11,7rxrQD7I7ZybpLtWbsnJwi,Swaying Trees,125901,1EpXwbpQDflfGg6juJz89j,Ornithology,5FU7a1LqkRZK8aTWWW81UM,Ornithology,2021-10-15,0.509,0.107,5,-14.454,1,0.0418,0.91,0.927,0.101,0.168,182.142
12,02DqTs7fDfvsjAA29bhdf1,Everything Gone,113325,0vg08N1z9G9LrGLkG1nNDS,Mujo,1A0S991MrpSULZTOKiHTWp,Better Days,2021-08-30,0.66,0.144,9,-13.126,1,0.0419,0.889,0.951,0.101,0.196,140.038
13,4D8rro15FXZa9dKCubcVbH,Spanish Castle,160800,2CiO7xWdwPMDlVwlt9qa1f,WYS,1zB9IZZJa6mOpKVzevhljj,The Way Back,2021-08-24,0.54,0.286,0,-19.004,0,0.0405,0.896,0.928,0.153,0.259,149.987
14,4FYheZwZ502rDE35jX9yps,Purple Sky,125384,0sLb0ouettR8lDLnEgCSVK,Living Room,6N7ADo693okIYdZS5LIy9U,After Sunset,2021-08-02,0.629,0.159,3,-14.802,1,0.0682,0.959,0.863,0.103,0.0926,78.027
15,6r9WVq9ERvkrT39LURk2sf,The Clouds Stood Still,155382,4n9z9czt00gzw36hdoVU3G,Kainbeats,4jHRJ8MXDSvP7kkqLJe22C,A Walk Through the Sky,2021-11-22,0.615,0.0465,11,-26.394,1,0.0355,0.962,0.94,0.0838,0.144,128.033
16,6iwMSccjAMyJgWAzIKhIyI,Brothers,169052,5tvVRGHiqZjsZDIYvLDdl5,l'Outlander,61wJuf5pVCICvt8iWX6btI,Willpower,2022-02-20,0.742,0.185,11,-19.588,0,0.0783,0.873,0.921,0.0859,0.742,114.996
