,track_id,track_name,track_duration_ms,artist_id,artist_name,album_id,album_name,album_release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
28,6xTOkkjXpxhmUbC4bHwj42,Placid Dream,178782,0JIVfIfdmw45EoZuIWSZqa,Sleepy Sine,3C7sOvemZvkGawuFHaWCES,Placid Dream,2022-02-21,0.176,0.00822,9,-34.83,0,0.042,0.978,0.937,0.0893,0.0523,87.771
29,2IeNePLzeL0KYs4PZh0yWA,Punta Nariga,195509,518pvehpCn4yp3oJJbr6zA,Huma,4Y5c6B65RirvpA7EEy7zcx,Punta Nariga,2021-02-12,0.0644,0.0457,10,-30.48,1,0.0412,0.883,0.764,0.111,0.0389,68.461
30,58QLCa2HJxU4U2MnpNopLj,Light Rest,169754,2LTLJd4VIsqMpaoh9dn1ik,Spring Euphemia,1Jmn0i1SjtVnj2IsC05vd8,Light Rest,2021-11-04,0.155,0.00233,0,-39.904,1,0.0408,0.968,0.971,0.0701,0.0778,135.747
31,6KU6lJNEwpHSB8EdI6klNN,Eudaimonia,177000,3L8lia6SiogIvkEl2qQ32d,Gaea Antoniou,09qRQwHteDmqgCTEe2HcYl,Eudaimonia,2021-09-17,0.0802,0.00761,2,-32.863,1,0.0497,0.975,0.9,0.112,0.0623,172.676
32,2UScMXkAslXCfMcRx2Wlr7,Midst of Everything,166161,59RVWpGZwBN5H2S4yHsxD9,Tora Summer,1RmiiLCKVetsg26CP2b9wM,Midst of Everything,2021-10-28,0.146,0.0592,2,-30.503,1,0.0418,0.935,0.909,0.0743,0.0426,67.854
33,381txcpzL73JjcdV2690sm,Reappearance,122636,7FQhluCKlC5UBRvkodPl8m,Spacetactular,0O2ZiFlvME9d031RNbZJqp,Reappearance,2021-01-21,0.0778,0.00796,3,-35.644,1,0.0376,0.959,0.907,0.106,0.0491,79.221
34,2Pob0B0xBaszDLVBDWNh0U,Amado Nervo,189065,1TZG0boEXBMRfxjj1nH6TM,Sayulita,6a4WIqXe0jVegSsNx8vCDJ,Amado Nervo,2021-08-27,0.0985,0.0341,10,-28.071,0,0.0435,0.93,0.851,0.108,0.0815,74.016
35,0AY2x7N94uTmkYruyZDPKu,Migla,120199,5EUJpZPU6Oo6v9E5I21qFe,Adelina Palm,1ImyklVXN9AtfPPDfRNYEH,Migla,2021-10-21,0.128,0.0275,8,-31.356,1,0.0363,0.984,0.934,0.124,0.0954,89.734
36,7lKhxWhv5sPG9MBaDfdJL7,Taivas,144121,3lxrrGQ5yyzG43gu1ttAfP,Lumi Couri,4eZo8y8cM7ZGqaUJoaooZ9,Taivas,2021-04-22,0.175,0.00428,11,-34.648,1,0.0412,0.971,0.946,0.104,0.0744,73.285
37,3rPFA1lIlvYgmQbblz3sDp,What Matters Most,195062,42o9XvYCWagpauD2sbHOPY,Nathaniel Rembrandt,4uKx9Kfx0M03BSYctWm3iJ,What Matters Most,2022-02-07,0.15,0.00618,10,-37.04,1,0.0459,0.988,0.702,0.103,0.103,68.849
38,5OJoZKBKLoJACasfMrKrCv,Just In View,209750,0bvbu0duux79xFOXVaaozq,Euloria,4e52GFe6T8POxpBMXqbTG7,Just In View,2021-12-09,0.162,0.00166,9,-36.77,1,0.0402,0.995,0.861,0.0886,0.121,71.13
39,2i02KGiRdF0vyYFHihasJN,Touriñán,145246,518pvehpCn4yp3oJJbr6zA,Huma,4Y5c6B65RirvpA7EEy7zcx,Punta Nariga,2021-02-12,0.157,0.0336,0,-29.183,1,0.0394,0.982,0.913,0.157,0.0398,86.742
40,71Qg70soej5nFS1T079wuQ,Light Under Water,155157,4pnDGbpRLEb0cIu7UFrswl,Mia Bovind,1595Cbk1C9s2y8Ts8ImjH6,Light Under Water,2022-02-17,0.0934,0.00913,10,-36.849,1,0.0444,0.978,0.934,0.102,0.119,72.448
41,5cNxtUwvAsml2dxp4zpoVa,Soft Answers,203565,1MhNxd0tQVdZHLw2xNATuF,Neoline Ewing,4n5WkZT1FkBtYkTXtlbEaE,Soft Answers,2022-01-13,0.18,0.00261,0,-38.737,1,0.0437,0.913,0.819,0.108,0.0652,74.683
42,3YPMSEyEJkYpvQB1kcs5Rl,What's Best For You,218500,7FmXiPBaufqqZHoBmGEiCx,Esmay Gouin,2k0IJZavMYJ2Pi3ZRymD86,What's Best For You,2021-10-14,0.137,0.00633,0,-35.312,1,0.0382,0.984,0.835,0.086,0.0658,72.459
43,6eTRQbYbCnrnm0ghn4eUNd,Allt finns kvar,239224,3N5bWM0Opalb3v1tWy6NJn,Eleonora Feldt,4peQko6d1eFGavCfFHJGT3,Allt finns kvar,2021-09-23,0.173,0.0112,0,-35.577,1,0.0333,0.912,0.952,0.107,0.0379,59.386
44,2iPWi1NCAoipOYK1hBv0Fj,Constant Change,153124,32fb0CzojuxZhDwienUYu5,Leonid Antonov,13neib5KMhCXm17GJdlZ1L,Constant Change,2021-07-02,0.243,0.029,3,-29.358,1,0.0373,0.962,0.948,0.109,0.103,65.701
45,7gJ7Yb0ZpUPUiaYVv6FhR8,Reminiscence,201000,4xdU9qb6mDz0punEhwwi72,Griff Beynon,5ZqtwBmNJwxXHAff8szncz,Reminiscence,2022-02-28,0.141,0.00386,11,-35.147,1,0.0378,0.994,0.944,0.0992,0.104,70.913
46,48UNHWGzRfk4AOKrCJM7XJ,I et andet liv,186500,0vPGOBFcfVsCzqsYTxubi6,Minik Knudsen,0g1IbymnrPiH2sgYQX1YKG,I et andet liv,2021-12-21,0.0685,0.00769,7,-38.523,1,0.0439,0.991,0.859,0.107,0.111,74.874
47,05XqOIQ7J4mO4ZyOFIoz5L,Distant Dreams,239224,0bvbu0duux79xFOXVaaozq,Euloria,6M5JYrM1JhzIXe5vIDWZcB,Distant Dreams,2021-06-03,0.218,0.0025,0,-35.931,1,0.0401,0.994,0.896,0.109,0.0556,70.124
48,5xcgi9ta3wVzBFktltBLMo,Underview,110000,3TrVbyS2m9PyOxsjoPos7Z,Eldrelder,5CxKbJBV7cYw5ayhZWMQrN,Underview,2022-02-21,0.0705,0.00211,0,-36.18,1,0.0426,0.99,0.869,0.126,0.0967,76.472
49,1JuU4qEEZgSZbXotwMRpQF,Cíes,155777,518pvehpCn4yp3oJJbr6zA,Huma,3Ls0VL9UNb0CaLsJrPcyaC,Cíes,2022-01-28,0.169,0.032,2,-30.264,1,0.0455,0.884,0.714,0.111,0.0371,73.735
