,track_id,track_name,track_duration_ms,artist_id,artist_name,album_id,album_name,album_release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
0,445KHitEvap0tspDZ3C78V,Coulant,148500,0CEd23JZvyemacknJwWM9O,Les Rêveries,2yVjc4mMxopxCDyPDBP1Iq,Coulant,2022-03-04,0.366,0.0716,8,-26.44,0,0.0416,0.982,0.889,0.102,0.172,105.854
1,0SK8aridaHO485I2iJD35e,Nirha,164000,4nGn3LnoPxjDGpkYY7fW9E,Matti Aalto,3AEGuqW6eS9efDAYOpfBjH,Nirha,2021-10-08,0.277,0.128,8,-29.294,1,0.0327,0.987,0.902,0.11,0.157,100.05
2,4hHEz6u8xPXcTU4qmVNkpq,Elevate,188500,6BXKYC9Iz51qNqjpAnu72f,Renato Luigi,6Nl9NX8dwkAbKS3BB5dRlO,Elevate,2021-12-17,0.199,0.0404,10,-32.952,0,0.0339,0.991,0.906,0.105,0.283,166.947
3,3irfOZS30z0snSh5vOPs2V,Belle Vie De Tous Les Jours,157000,1zQiEG2u3FSEMD9QU0Brxg,Baudouin Béringer,2dYmnpSKtsLNFONuHvofaI,Belle Vie De Tous Les Jours,2021-10-01,0.334,0.0088,0,-25.986,1,0.0525,0.994,0.932,0.111,0.374,83.406
4,635M2GuMSoVunGBe7D7vWz,Dawn Of Day,244374,4Sw3vhjwiEgEuExPxm3vpl,Sarah Seing,3cLULRxqDxLAtlHe35y3Dx,Dawn Of Day,2022-02-25,0.394,0.0998,2,-29.231,1,0.0321,0.975,0.931,0.112,0.15,100.498
5,1ihUUaEazz6DAxb9ZX7Thh,Spheroidal,184220,1F1dcgEK9enKnHceBwHFom,Kalen Elmsley,3xguLvsBqytD437os4ZMcY,Spheroidal,2022-02-25,0.385,0.0217,2,-27.33,1,0.0502,0.996,0.951,0.0731,0.162,126.449
6,0M3DaTZsuttjClg5VG8exA,Heartland,208500,7dsYrsCwrZat4t33c7RXPe,Lihua Zhao,0fKjmVxLE5o2sDd1b47REq,Heartland,2021-10-08,0.325,0.0762,4,-28.507,0,0.0367,0.974,0.933,0.097,0.141,123.907
7,3U6R2JSOzgPzQo57fZFsDZ,Wiegenlieden,158000,1o402msQD5tWRl4y5jnrvI,Gunnel Boek,55EUDdrVTg81REpnhuSwVl,Wiegenlieden,2021-11-05,0.39,0.00456,3,-30.247,1,0.0403,0.994,0.958,0.116,0.255,59.022
8,6TAdSTLJrVdWjmuvUhTaDd,Let many flowers grow,190750,0DP3HMpZrLwWXEDUYYxnBu,Ava Decker,131d4xktQj2Jwve1yJwi0u,Let many flowers grow,2021-12-30,0.264,0.0224,2,-29.738,1,0.0374,0.968,0.887,0.103,0.266,54.356
9,0J1qj6Tn3Zwwggfsz08FXp,Silhouettes,197673,5E1w0yu3MqU1W1OaUT1fs1,Sara Hoffman,6jEiAwNkDq6grs1p3BpoTg,Silhouettes,2021-09-20,0.342,0.0347,2,-25.578,1,0.0414,0.988,0.929,0.114,0.159,93.729
