,track_id,track_name,track_duration_ms,artist_id,artist_name,album_id,album_name,album_release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
0,3JLp0nKPNJKfeFWJMJYj1g,Battle Belongs,372546,26T4yOaOoFJvUvxR87Y9HO,Bethel Music,6rlmahX20G4EGu7ClCHe4p,"Peace, Vol. II",2021-11-12,0.563,0.307,10,-11.49,1,0.0286,0.863,3.2e-05,0.108,0.25,131.91
1,6R6V0yswnkY01L9buDZa7O,Resurrender - Live,422135,3SgHzT552wy2W8pNLaLk24,Hillsong Worship,3ShHQPOWPmRQybY6gh1b4g,These Same Skies (Live),2021-11-05,0.45,0.434,0,-9.544,1,0.0295,0.148,0.0,0.0697,0.143,139.93
2,7vJhZnFfHRgHArNOb2Y6pW,Highs & Lows,354786,7m4gF38CPATtHrk5HS42WZ,Hillsong Young & Free,5Rb8R5i1XkZIFCKUyR2PZD,III,2018-06-29,0.522,0.309,10,-12.762,1,0.031,0.541,0.000778,0.0953,0.0432,119.879
3,55TW6H9X6pMfiOhmPk4luE,Goodness of God,304540,1bMkQIx4MpNHLxoylvipdQ,The Worship Initiative,0cxR2OoCW1u1F2wAWciDjZ,"The Worship Initiative, Vol. 17",2019-06-14,0.498,0.357,8,-11.82,1,0.0312,0.0311,0.0,0.0699,0.265,125.918
4,3y4vtWNdifYhq7xOjwZjPY,Unity Hymn,248672,2jKlK6gsKyZDItyVP36II2,Mike Donehey,7nigBw0tx1evzzcrTl8zma,Flourish,2021-08-27,0.407,0.486,0,-6.771,1,0.0322,0.462,0.0,0.121,0.0971,80.986
5,1cloJnP4gDul2IiDqCwGNh,Higher Than Mine,185062,7M7UXUwtz3Wb25PVS8dwHs,SEU Worship,6CR7FS8KhwY5HnEGlUeGTN,Higher Than Mine,2019-11-08,0.668,0.632,11,-5.652,0,0.0952,0.0523,9.37e-05,0.0971,0.156,106.017
6,0mqDhUDKwpnDvIFoQYR524,Endless Alleluia,265377,2gXmjQIxCO8lMnSncluZaU,Cory Asbury,63fUIyRGFTFdVlDMTT5tLB,Reckless Love,2018-01-26,0.261,0.179,9,-10.423,1,0.0368,0.848,0.0,0.113,0.229,77.473
7,0T3iZrykxliMyN1yeunXQh,Faithful Now,234560,6N6Sk9XOoHsadAGYR44C2o,Vertical Worship,0GgRDCWPLjgLl79e71UT7F,Grace Is On Our Side,2020-03-13,0.156,0.739,11,-6.062,1,0.0436,0.0462,0.0,0.158,0.186,73.354
8,6REeeIqHCptiIsfzInGxb5,That's The Power - Live,274533,3SgHzT552wy2W8pNLaLk24,Hillsong Worship,3ShHQPOWPmRQybY6gh1b4g,These Same Skies (Live),2021-11-05,0.454,0.635,10,-8.286,1,0.0331,0.0103,0.0,0.233,0.0931,148.169
9,2CNqVcNFHZxPOEnL2sPjkx,I Say Yes - Live,406436,4leTWyczsXYGlzUh8sFGSz,Kim Walker-Smith,4w5FajlRlCXCoflshe1IsS,Revival Nights (Live),2021-07-16,0.205,0.556,6,-7.376,1,0.0357,0.35,0.0,0.429,0.129,177.693
10,35jVid0Qi789ypoem4KMrs,Fierce - Studio Version,222186,0Onvkz1Nbs4wHXXUwOIGk8,Jesus Culture,5KLi1WXy0wZdtGYVkujZkW,Fierce (Studio Version),2016-01-29,0.518,0.797,2,-6.116,1,0.0418,0.000906,0.0,0.105,0.607,157.913
11,4EHWldZTas5KUyFtT0rQlY,"Lord, I Need You",205666,1dPl8axUL09mso0myZqPZW,Matt Maher,2WtZ4nYCFphrLzFcjuxhyu,All The People Said Amen,2013-04-19,0.457,0.451,10,-6.997,1,0.029,0.517,0.0,0.0928,0.185,74.923
12,6uJrufvOf0yeQod16O5WUt,SELAH II,110573,7m4gF38CPATtHrk5HS42WZ,Hillsong Young & Free,5Rb8R5i1XkZIFCKUyR2PZD,III,2018-06-29,0.294,0.426,0,-14.122,1,0.0326,0.104,0.781,0.0976,0.0361,153.861
13,5GDtkgG9T1BDknHHyDtghv,The Father's House - Studio,253640,2gXmjQIxCO8lMnSncluZaU,Cory Asbury,7sEawI0wnDKeXS1cdiXr3M,The Father's House,2020-01-31,0.408,0.707,1,-5.4,1,0.0341,0.189,0.0,0.626,0.333,161.962
14,1CSSjxVMn8S51x1kC2yJ4z,Good Things,374546,7M7UXUwtz3Wb25PVS8dwHs,SEU Worship,0qFxivCbnRrBlXwhvQlrYV,Walk with You,2022-02-04,0.398,0.36,0,-7.779,1,0.0287,0.553,0.0,0.162,0.101,149.973
15,57xCSQ2a41k8zW8PkcbnBO,Surrounds Me - Live,219378,3SgHzT552wy2W8pNLaLk24,Hillsong Worship,3ShHQPOWPmRQybY6gh1b4g,These Same Skies (Live),2021-11-05,0.531,0.534,5,-7.577,1,0.0277,0.0143,0.0,0.0642,0.344,81.873
16,341PCNPl5eR9AZ4gRgj0E0,Spirit Break Out / Spontaneous - Medley/Live,347320,4leTWyczsXYGlzUh8sFGSz,Kim Walker-Smith,5SjDZwjks6vfJxdXbGnLal,Still Believe (Live),2012-01-01,0.205,0.497,4,-8.103,0,0.0375,0.0169,0.000204,0.34,0.0443,147.595
17,1sF4VadVaVTvp9WTEy79JT,Yes I Will,234731,6N6Sk9XOoHsadAGYR44C2o,Vertical Worship,4jrX2w9Y3shbQNVhT43jbj,Bright Faith Bold Future,2018-04-06,0.43,0.708,0,-7.14,1,0.0336,0.0561,0.0,0.704,0.243,75.024
18,066eFvkQXyR9UIYi65GsSu,Your Love Defends Me,226866,1dPl8axUL09mso0myZqPZW,Matt Maher,7HKEDHznm7Zngpw3oHkorA,Echoes (Deluxe Edition),2017-09-29,0.546,0.486,9,-6.797,1,0.0255,0.063,0.0,0.0892,0.289,78.866
19,7t4ldrXvSEvY8yzGFTxgG9,Come What May +,201671,5WcisvYoq6332gCUX039Jd,We Are Messengers,0h7P3u9ifnfsWH3dGzKU0y,Come What May +,2021-09-10,0.405,0.633,6,-5.364,1,0.0354,0.0483,0.0,0.109,0.217,173.12
20,0rH0mprtecH3grD9HFM5AD,Reckless Love,333386,2gXmjQIxCO8lMnSncluZaU,Cory Asbury,63fUIyRGFTFdVlDMTT5tLB,Reckless Love,2018-01-26,0.572,0.685,6,-7.29,1,0.0356,0.0291,0.0,0.0963,0.232,110.698
