,track_id,track_name,track_duration_ms,artist_id,artist_name,album_id,album_name,album_release_date
0,445KHitEvap0tspDZ3C78V,Coulant,148500,0CEd23JZvyemacknJwWM9O,Les Rêveries,2yVjc4mMxopxCDyPDBP1Iq,Coulant,2022-03-04
1,0SK8aridaHO485I2iJD35e,Nirha,164000,4nGn3LnoPxjDGpkYY7fW9E,Matti Aalto,3AEGuqW6eS9efDAYOpfBjH,Nirha,2021-10-08
2,4hHEz6u8xPXcTU4qmVNkpq,Elevate,188500,6BXKYC9Iz51qNqjpAnu72f,Renato Luigi,6Nl9NX8dwkAbKS3BB5dRlO,Elevate,2021-12-17
3,3irfOZS30z0snSh5vOPs2V,Belle Vie De Tous Les Jours,157000,1zQiEG2u3FSEMD9QU0Brxg,Baudouin Béringer,2dYmnpSKtsLNFONuHvofaI,Belle Vie De Tous Les Jours,2021-10-01
4,635M2GuMSoVunGBe7D7vWz,Dawn Of Day,244374,4Sw3vhjwiEgEuExPxm3vpl,Sarah Seing,3cLULRxqDxLAtlHe35y3Dx,Dawn Of Day,2022-02-25
5,1ihUUaEazz6DAxb9ZX7Thh,Spheroidal,184220,1F1dcgEK9enKnHceBwHFom,Kalen Elmsley,3xguLvsBqytD437os4ZMcY,Spheroidal,2022-02-25
6,0M3DaTZsuttjClg5VG8exA,Heartland,208500,7dsYrsCwrZat4t33c7RXPe,Lihua Zhao,0fKjmVxLE5o2sDd1b47REq,Heartland,2021-10-08
7,3U6R2JSOzgPzQo57fZFsDZ,Wiegenlieden,158000,1o402msQD5tWRl4y5jnrvI,Gunnel Boek,55EUDdrVTg81REpnhuSwVl,Wiegenlieden,2021-11-05
8,6TAdSTLJrVdWjmuvUhTaDd,Let many flowers grow,190750,0DP3HMpZrLwWXEDUYYxnBu,Ava Decker,131d4xktQj2Jwve1yJwi0u,Let many flowers grow,2021-12-30
9,0J1qj6Tn3Zwwggfsz08FXp,Silhouettes,197673,5E1w0yu3MqU1W1OaUT1fs1,Sara Hoffman,6jEiAwNkDq6grs1p3BpoTg,Silhouettes,2021-09-20
10,3MOqT1Ka4jEf9PKSafbDiT,Dvala,177813,6LwcYWG1molG0KW2xwnPd2,Ever So Blue,0cE9nCfxJWkXE9MbB8jAuZ,Dvala,2021-09-17
11,7geHCfvKGWHQ9d24S2a2aa,Suki Desu,136421,37H3UX4jTV7ZjH5yL6l3Yl,Marlon Guild,2BarWHunh4UHpIHvj1Xoka,Sakura,2021-06-24
12,0BET2XNs9xjzW6uQ5yvqjQ,Strosande,182500,5Q7WksIlCit2j220mJx7ek,Alfred Janders,33zOUncyEjkebUlCAEuvtM,Strosande,2021-12-30
13,0R6HqMleKWUdqPZ6l2PcHK,Endless skies,218500,5DYjSQAZSKcn363QyjYNrG,Celine Hayes,5H8Ln206SyXdF9hCgo9ao5,Endless skies,2022-01-07
14,3A5ebpvRHl0yEpyRzbnOYN,Inner Haze,124456,1F1dcgEK9enKnHceBwHFom,Kalen Elmsley,4aIAblykyScKNEnwHi2okD,Inner Haze,2021-08-06
15,2rBLJwsNjWvSx0yVAQLc3B,Rêvasser,209250,76OnsMFi0V8EsscskTGEch,Lucién,0xnlKa5rkGsf3r93ULxb3l,Rêvasser,2021-11-05
16,4xugZez7zpHFNTgkf0DLV1,Before your eyes,180777,0lQPyV27qv4l2vBbFJsImj,Mirta da Silva,0o9d8yy6sU4pkrwu06Y84t,Before your eyes,2022-01-21
17,36QUkXZd5QuCItDvIPSbH0,Symbios,173161,6LwcYWG1molG0KW2xwnPd2,Ever So Blue,2GpcAcNttDQAU3wXWgEEHE,Symbios,2022-02-18
18,3a2fZ1oqZMDnjFI5ANACiz,Blåregn,160000,2ClAWj3iKUlyddnvR6faUP,Jacob David,3d2SCTUaH6LJLEz1uXmDKT,Blåregn,2021-08-13
19,3HijOHaUfpWWJNEbU0QsHZ,Silent Rain,139750,0DP3HMpZrLwWXEDUYYxnBu,Ava Decker,71ceTov00b4SL0TiqvzIGy,Silent Rain,2021-06-18
