,track_id,track_name,track_duration_ms,artist_id,artist_name,album_id,album_name,album_release_date
0,5E7G1v4iGa9li0HWAomSOs,Pájaro,128826,18hiqhddMloGWzY8pNZ8qr,Maple Syrup,26VgzLAyBkVIn8SesEB6oB,Barça,2020-08-28
1,25vPtLrUxkdrFHxRzhXSw6,Willpower,163471,5tvVRGHiqZjsZDIYvLDdl5,l'Outlander,61wJuf5pVCICvt8iWX6btI,Willpower,2022-02-20
2,7bZkgrzfCjzA9qDDGZdsM8,Primitivo,98823,5xJ9q1lHwa8AShRof94oIt,Phlocalyst,22GFJw9YsweUCmzY8BqPdT,Primitivo,2020-10-02
3,6yzoosToQTjFNu6WjuWahI,Hold My Hand,164161,3iGthn6RykA9JUHnilAIr0,Krynoze,38KDWtXii83A6xj26chFbk,Tomorrow Comes,2022-01-21
4,7HpNwwS5G8mUjcTshcMKzi,Chasing Dreams,137142,7nlZWVZ0U8EVad0g71xiZt,Sitting Duck,3HOZF0LXJjt0vhrJ3idypD,Wonderland Chapter II,2021-04-08
5,3eRiOsaW10pOiW0sQjsPSb,chill,96008,299YwUx9tIS10VkkAujnMt,n o r m a l,2frduprulrVLyAxCxYxBY7,daytoday,2021-09-10
6,32jgxWTiEcXChtfT4BdFyK,Better Life,160538,3VXe7BcibISROhxRdPuRNL,Zmeyev,43SGwBqaSpuOA5D9stfmLy,Better Life,2021-10-22
7,6bp0DUXnsAdLbueBfFTPFn,The Descent,213038,7185Q95lPFld0aoPqO6e0U,Blue Wednesday,4qXFRv89pwobNKRZjM7mvH,In My Head,2021-11-07
8,7v9Kx2qNjDO1ccoXHiOnnp,Capsule,154583,4n9z9czt00gzw36hdoVU3G,Kainbeats,5iLhC7OUCeR51VC7QVwL8y,Atlantis,2022-02-04
9,2uv1gNThLENcJjbgDMSLYC,Raining In My Head,128623,46RYzJ2442SuhtOTl281nz,Dimension 32,7GvfyfSmMTbwEljirJNWF1,Silent Emotions,2021-09-27
10,3cGBQyGQpInEcUPh4zK6r6,Cascade,136000,4CSOdm2yCuB71TxCfV105e,Kinissue,5R06CgiPgr3hIVD155BIyF,Sea Beams,2021-07-05
11,7rxrQD7I7ZybpLtWbsnJwi,Swaying Trees,125901,1EpXwbpQDflfGg6juJz89j,Ornithology,5FU7a1LqkRZK8aTWWW81UM,Ornithology,2021-10-15
12,02DqTs7fDfvsjAA29bhdf1,Everything Gone,113325,0vg08N1z9G9LrGLkG1nNDS,Mujo,1A0S991MrpSULZTOKiHTWp,Better Days,2021-08-30
13,4D8rro15FXZa9dKCubcVbH,Spanish Castle,160800,2CiO7xWdwPMDlVwlt9qa1f,WYS,1zB9IZZJa6mOpKVzevhljj,The Way Back,2021-08-24
14,4FYheZwZ502rDE35jX9yps,Purple Sky,125384,0sLb0ouettR8lDLnEgCSVK,Living Room,6N7ADo693okIYdZS5LIy9U,After Sunset,2021-08-02
15,6r9WVq9ERvkrT39LURk2sf,The Clouds Stood Still,155382,4n9z9czt00gzw36hdoVU3G,Kainbeats,4jHRJ8MXDSvP7kkqLJe22C,A Walk Through the Sky,2021-11-22
16,6iwMSccjAMyJgWAzIKhIyI,Brothers,169052,5tvVRGHiqZjsZDIYvLDdl5,l'Outlander,61wJuf5pVCICvt8iWX6btI,Willpower,2022-02-20
17,7Gahoyv1ZS22Jt8zBGrDIg,Isabella,140518,3VXe7BcibISROhxRdPuRNL,Zmeyev,7IIU8wrP7jnNgqMwegkrDD,Isabella,2021-08-20
