,track_id,track_name,track_duration_ms,artist_id,artist_name,album_id,album_name,album_release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
0,1lWgg3gJzy1ejSJLN3ydqg,Jupiter Moons,116718,5zUSfxfP1NETZiaWt0Ui0a,Casiio,5Pq3A5yEiAz6hBOslGZa4T,Far Off,2022-02-16,0.548,0.257,2,-14.577,0,0.036,0.551,0.19,0.112,0.139,70.013
1,7G4sGJvIZZs8IePWqzEpvQ,Young Again,206470,6ysKfYgiKUTMCuq2fSTLK3,xander.,4Ncvj3VT68hPbjLv7LT0Hh,Forest Of Dreams,2022-03-10,0.425,0.313,9,-17.779,1,0.0573,0.14,0.847,0.0928,0.144,67.844
2,6trLPOBjf8nWjMtl5PibbV,Solitude,110305,5fQYCNYjrT9c4ZssNrC0gh,leaf beach,2dYxugKzxoX6phylPQ2I2x,Solitude,2020-06-26,0.875,0.497,4,-8.65,0,0.0556,0.236,0.915,0.136,0.173,87.993
3,6yzoosToQTjFNu6WjuWahI,Hold My Hand,164161,3iGthn6RykA9JUHnilAIr0,Krynoze,38KDWtXii83A6xj26chFbk,Tomorrow Comes,2022-01-21,0.561,0.0185,5,-21.849,1,0.0327,0.958,0.947,0.071,0.177,60.013
4,77ROLrTU9b0PX3kVFbcvmX,fuji,165013,3Zi91vuWAU6SUwcKDf8zDq,Bert,5M7Fen0QRGgHb6bhjSOKT1,offline,2021-06-25,0.64,0.0798,8,-22.639,0,0.0433,0.924,0.922,0.102,0.21,120.034
5,7yuQfty6xy8DkToRRERmot,Starry night,147945,0vpi2tMaHCn6YHS6L7qgoe,eugenio izzi,2IVhCTG5pRtZx8VCjr4YxD,Reflections in the moonlight,2021-06-13,0.619,0.0822,8,-18.256,1,0.0489,0.929,0.854,0.119,0.16,73.022
6,2Z2UlqPUQzHob90fBjBBoy,Painted Skies,154000,0F1wth3t5bL0Vdjuk34yMP,Nogymx,7uCk7eSnxjBI38WEruaLSt,Mirage of the Mind,2022-02-08,0.68,0.375,8,-12.77,0,0.0533,0.917,0.915,0.0931,0.119,77.986
7,330rQkmHgiDIOuZiCbZHF0,In The Fields,149457,0xC8LfT2owfXVS57Bcz6sH,Plant Guy,5iJB8gwP7A2qoIR0igOx9h,In Harmony With Nature,2022-02-28,0.63,0.0691,1,-15.142,0,0.201,0.936,0.943,0.102,0.314,82.966
8,2CJJLY9d5HL2FVte3nXv8T,Northern Lights,136800,6bA2OonnJsG1tN9yClu2aC,mell-ø,0W4SoHQy4Uvy7sjqqo3AYD,Time To Go,2021-08-20,0.631,0.201,7,-15.616,0,0.0481,0.96,0.905,0.186,0.187,74.989
9,1oBztH9i09z0Nc099LbZif,Moonlit,133770,4GKyEHBQxZKcVESiIggVaU,Prithvi,6p2INecNLR2k2GfnvZBBdO,Timescapes : Longer Nights,2022-03-08,0.705,0.212,2,-14.937,1,0.0338,0.691,0.894,0.111,0.149,122.022
10,0sOwQkubS2Immh2g0DraZW,pluto,166000,2lWv7a6ohSVtXArF7q4dWc,Amess,56AiniCw9M1y0nag0UGFf6,To the moon and back,2021-11-08,0.741,0.212,0,-16.294,0,0.0388,0.719,0.778,0.0992,0.0679,120.024
11,7vqNjtEpw7zHFq2HKgEqQs,time for bed,139746,4BJR5CJ5btzmku8BpERMwp,Goodnyght,6KzqYnbtrrwR6aZc6CZHdv,Sleep Cycles EP,2021-06-17,0.633,0.111,1,-25.365,1,0.0333,0.889,0.917,0.102,0.137,79.017
12,4PufljWRY3OkJPjD7NXaWC,Patience,249113,3pSfwb3p6BVPTYDkNdgxS2,Arbour,4glDpuXbaJl6SdpQGPKap4,4 Am. Study Session,2021-04-26,0.548,0.191,0,-21.043,1,0.0853,0.851,0.896,0.204,0.0826,78.997
13,2Ro1TdPyLfhfaTbww8CX66,Destination Unknown,172000,2zNmlxTlRfyMAAifd2f71Q,amies,6X1d5VgWEGNrwjRbvePqFT,Oblivion,2021-04-14,0.631,0.0574,9,-20.827,1,0.0288,0.883,0.912,0.0796,0.0787,80.013
14,57ppNfMVD8H3by7cFGM5o9,Fairy Lights,195478,1csp9v9FfSxU0LcBtfWFCb,Tibeauthetraveler,7DPE3hyRUX3NZFhR7ikQRC,Travel Buddies,2022-03-14,0.577,0.134,9,-15.769,1,0.0398,0.809,0.961,0.0811,0.0782,127.987
15,73XgSkcLnqRgAWxNlmNTFu,donato,72000,4p6uSzp3RTnHrfgkZEUj4O,Fuyu,1heiA9pGmSI2GXMTBRnaWx,household,2021-01-29,0.796,0.187,11,-16.171,1,0.147,0.924,0.889,0.109,0.275,160.134
16,6knClxS3hrl98YJrzcLxLW,when i close my eyes,130968,1R9fj5Tiy9XMFp5ANzS7FA,Jhove,6EwaSEaZRx1YWJWBL34XdO,dream tapes,2021-07-19,0.714,0.187,1,-10.755,1,0.117,0.772,0.882,0.343,0.123,66.98
17,6X3vEFdzve6LsK9balsY9L,"Floating, Drifting",177164,40GMyQ5sv1bfiui9CrEPME,Lawrence Walther,40Hit6WOcn3rE4uYO7gnR0,Floating into Serenity,2021-12-16,0.651,0.225,10,-17.555,0,0.0321,0.945,0.913,0.111,0.284,110.026
18,0mTlSLFiKld97GGTZMtIeS,On a Mission,154144,5BJiJign2sqMUCJhpStgNd,Team Astro,2ZVFxHhNDuiSbGzDyKohdY,Three of Us,2022-02-22,0.576,0.248,11,-15.336,0,0.037,0.781,0.937,0.11,0.137,76.142
19,5rTooMHd97cPnmU5unlVzu,Cozy Home,96925,0xC8LfT2owfXVS57Bcz6sH,Plant Guy,5iJB8gwP7A2qoIR0igOx9h,In Harmony With Nature,2022-02-28,0.668,0.151,8,-20.72,1,0.358,0.911,0.776,0.379,0.164,173.999
20,27G1NZHwIJjxVoVybSbwRc,from me to you,170125,1bbah9s09626gweOzzLbKG,Towerz,2VEa2ZdUZixLajyluonXXg,At Long Last,2021-09-09,0.737,0.103,4,-16.369,1,0.0449,0.913,0.812,0.0929,0.291,68.979
21,07Z0cJkK6FyLarI9z0dcSl,Invisible Medicine,174545,0rgPemi3mvhFTP6R5nQ2tt,squeeda,1ACSKfGHRJ1E6xbgBXj4by,Lost World,2021-08-22,0.704,0.276,8,-14.497,1,0.0368,0.751,0.767,0.336,0.109,131.987
