,track_id,track_name,track_duration_ms,artist_id,artist_name,album_id,album_name,album_release_date
0,3JLp0nKPNJKfeFWJMJYj1g,Battle Belongs,372546,26T4yOaOoFJvUvxR87Y9HO,Bethel Music,6rlmahX20G4EGu7ClCHe4p,"Peace, Vol. II",2021-11-12
1,6R6V0yswnkY01L9buDZa7O,Resurrender - Live,422135,3SgHzT552wy2W8pNLaLk24,Hillsong Worship,3ShHQPOWPmRQybY6gh1b4g,These Same Skies (Live),2021-11-05
2,7vJhZnFfHRgHArNOb2Y6pW,Highs & Lows,354786,7m4gF38CPATtHrk5HS42WZ,Hillsong Young & Free,5Rb8R5i1XkZIFCKUyR2PZD,III,2018-06-29
3,55TW6H9X6pMfiOhmPk4luE,Goodness of God,304540,1bMkQIx4MpNHLxoylvipdQ,The Worship Initiative,0cxR2OoCW1u1F2wAWciDjZ,"The Worship Initiative, Vol. 17",2019-06-14
4,3y4vtWNdifYhq7xOjwZjPY,Unity Hymn,248672,2jKlK6gsKyZDItyVP36II2,Mike Donehey,7nigBw0tx1evzzcrTl8zma,Flourish,2021-08-27
5,1cloJnP4gDul2IiDqCwGNh,Higher Than Mine,185062,7M7UXUwtz3Wb25PVS8dwHs,SEU Worship,6CR7FS8KhwY5HnEGlUeGTN,Higher Than Mine,2019-11-08
6,0mqDhUDKwpnDvIFoQYR524,Endless Alleluia,265377,2gXmjQIxCO8lMnSncluZaU,Cory Asbury,63fUIyRGFTFdVlDMTT5tLB,Reckless Love,2018-01-26
7,0T3iZrykxliMyN1yeunXQh,Faithful Now,234560,6N6Sk9XOoHsadAGYR44C2o,Vertical Worship,0GgRDCWPLjgLl79e71UT7F,Grace Is On Our Side,2020-03-13
8,6REeeIqHCptiIsfzInGxb5,That's The Power - Live,274533,3SgHzT552wy2W8pNLaLk24,Hillsong Worship,3ShHQPOWPmRQybY6gh1b4g,These Same Skies (Live),2021-11-05
9,2CNqVcNFHZxPOEnL2sPjkx,I Say Yes - Live,406436,4leTWyczsXYGlzUh8sFGSz,Kim Walker-Smith,4w5FajlRlCXCoflshe1IsS,Revival Nights (Live),2021-07-16
10,35jVid0Qi789ypoem4KMrs,Fierce - Studio Version,222186,0Onvkz1Nbs4wHXXUwOIGk8,Jesus Culture,5KLi1WXy0wZdtGYVkujZkW,Fierce (Studio Version),2016-01-29
11,4EHWldZTas5KUyFtT0rQlY,"Lord, I Need You",205666,1dPl8axUL09mso0myZqPZW,Matt Maher,2WtZ4nYCFphrLzFcjuxhyu,All The People Said Amen,2013-04-19
12,6uJrufvOf0yeQod16O5WUt,SELAH II,110573,7m4gF38CPATtHrk5HS42WZ,Hillsong Young & Free,5Rb8R5i1XkZIFCKUyR2PZD,III,2018-06-29
13,5GDtkgG9T1BDknHHyDtghv,The Father's House - Studio,253640,2gXmjQIxCO8lMnSncluZaU,Cory Asbury,7sEawI0wnDKeXS1cdiXr3M,The Father's House,2020-01-31
14,1CSSjxVMn8S51x1kC2yJ4z,Good Things,374546,7M7UXUwtz3Wb25PVS8dwHs,SEU Worship,0qFxivCbnRrBlXwhvQlrYV,Walk with You,2022-02-04
15,57xCSQ2a41k8zW8PkcbnBO,Surrounds Me - Live,219378,3SgHzT552wy2W8pNLaLk24,Hillsong Worship,3ShHQPOWPmRQybY6gh1b4g,These Same Skies (Live),2021-11-05
16,341PCNPl5eR9AZ4gRgj0E0,Spirit Break Out / Spontaneous - Medley/Live,347320,4leTWyczsXYGlzUh8sFGSz,Kim Walker-Smith,5SjDZwjks6vfJxdXbGnLal,Still Believe (Live),2012-01-01
17,1sF4VadVaVTvp9WTEy79JT,Yes I Will,234731,6N6Sk9XOoHsadAGYR44C2o,Vertical Worship,4jrX2w9Y3shbQNVhT43jbj,Bright Faith Bold Future,2018-04-06
18,066eFvkQXyR9UIYi65GsSu,Your Love Defends Me,226866,1dPl8axUL09mso0myZqPZW,Matt Maher,7HKEDHznm7Zngpw3oHkorA,Echoes (Deluxe Edition),2017-09-29
